IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Agriculture-1,Arable-1,Area-1,Birthrate-1,EducationIndexBucket,Date,GIvsEI,Climate-1,Coastline-1,Country (Sheet1),Country-3,Country-4,Crops-1,Deathrate-1,EI,GDP-1,GII-1,HDI Rank (2015),HDI Rank,Industry-1,Infant mortality-1,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Population-1,Region-1,Service-1,Year-2,Year-3
L,2014,0.483,2014,Burundi,BDI,Burundi,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334,0.463,35.05,27830,42.22,"Low (
0.206 - 0.498)",1/1/2014,1.22278481,2,0,Burundi,Burundi,Burundi,14.02,13.46,0.395,600,0.483,184,184,0.203,69.29,51.6,-0.06,1,50.93,3.42,290.7,8090068,SUB-SAHARAN AFRICA,0.334,2014,2014
L,2014,0.482,2014,Cambodia,KHM,Cambodia,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,0.35,20.96,181040,26.9,"Low (
0.206 - 0.498)",1/1/2014,1.050108932,2,0.24,Cambodia,Cambodia,Cambodia,0.61,9.06,0.459,1900,0.482,143,143,0.3,71.48,69.4,0,1,78.43,2.62,76.68,13881427,ASIA (EX. NEAR EAST),0.35,2014,2014
LM,2014,0.572,2014,Cameroon,CMR,Cameroon,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,0.448,12.81,475440,33.89,"Low (
0.206 - 0.498)",1/1/2014,1.160243408,1.5,0.08,Cameroon,Cameroon,Cameroon,2.58,13.47,0.493,1800,0.572,153,153,0.17,68.26,79,0,1,84.61,5.73,36.47,17340702,SUB-SAHARAN AFRICA,0.382,2014,2014
H,2014,0.102,2014,Canada,CAN,Canada,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,0.022,4.96,9984670,10.78,High (0.780 - 0.939),1/1/2014,0.114606742,,2.02,Canada,Canada,Canada,0.02,7.8,0.89,29800,0.102,10,10,0.294,4.75,97,5.96,1,95.02,552.16,3.31,33098932,NORTHERN AMERICA,0.684,2014,2014
L,2014,,2014,Chad,TCD,Chad,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406,0.335,2.86,1284000,45.73,"Low (
0.206 - 0.498)",1/1/2014,,2,0,Chad,Chad,Chad,0.02,16.38,0.28,1200,,186,186,0.259,93.82,47.5,-0.11,1,97.12,1.31,7.74,9944201,SUB-SAHARAN AFRICA,0.406,2014,2014
H,2014,0.325,2014,Chile,CHL,Chile,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,0.06,2.65,756950,15.23,High (0.780 - 0.939),1/1/2014,0.414540816,3,0.85,Chile,Chile,Chile,0.42,5.81,0.784,9900,0.325,38,38,0.493,8.8,96.2,0,1,96.93,212.96,21.31,16134219,LATIN AMER. & CARIB,0.447,2014,2014
UM,2014,0.168,2014,China,CHN,China,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,0.125,15.4,9596960,13.25,Low-Medium (0.498 - 0.659),1/1/2014,0.266244057,1.5,0.15,China,China,China,1.25,6.97,0.631,5000,0.168,90,90,0.473,24.18,90.9,-0.4,1,83.35,266.7,136.92,1313973713,ASIA (EX. NEAR EAST),0.403,2014,2014
UM,2014,0.399,2014,Colombia,COL,Colombia,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,0.125,2.42,1138910,20.48,Low-Medium (0.498 - 0.659),1/1/2014,0.633333333,2,0.28,Colombia,Colombia,Colombia,1.67,5.58,0.63,6300,0.399,95,95,0.342,20.97,92.5,-0.31,1,95.91,176.15,38.28,43593035,LATIN AMER. & CARIB,0.533,2014,2014
H,2014,0.12,2014,Croatia,HRV,Croatia,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,0.07,26.09,56542,9.61,High (0.780 - 0.939),1/1/2014,0.150943396,,10.32,Croatia,Croatia,Croatia,2.27,11.48,0.795,10600,0.12,45,45,0.308,6.84,98.5,1.58,1,71.65,420.38,79.49,4494749,EASTERN EUROPE,0.622,2014,2014
UM,2014,0.307,2014,Cuba,CUB,Cuba,Cuba,LATIN AMER. & CARIB,11382820,110860,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684,0.055,33.05,110860,11.89,Upper-Medium (0.659 - 0.780),1/1/2014,0.394094994,2,3.37,Cuba,Cuba,Cuba,7.6,7.22,0.779,2900,0.307,68,68,0.261,6.33,97,-1.58,1,59.35,74.67,102.68,11382820,LATIN AMER. & CARIB,0.684,2014,2014
H,2014,0.12,2014,Cyprus,CYP,Cyprus,Cyprus,NEAR EAST,784301,9250,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765,0.037,7.79,9250,12.56,High (0.780 - 0.939),1/1/2014,0.152671756,3,7.01,Cyprus,Cyprus,Cyprus,4.44,7.68,0.786,19200,0.12,33,33,0.198,7.18,97.6,0.43,1,87.77,,84.79,784301,NEAR EAST,0.765,2014,2014
H,2014,0.043,2014,Denmark,DNK,Denmark,Denmark,WESTERN EUROPE,5450661,43094,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,0.018,54.02,43094,11.13,High (0.780 - 0.939),1/1/2014,0.046587216,3,16.97,Denmark,Denmark,Denmark,0.19,10.36,0.923,31100,0.043,5,5,0.246,4.56,100,2.48,1,45.79,614.6,126.48,5450661,WESTERN EUROPE,0.735,2014,2014
UM,2014,0.394,2014,Ecuador,ECU,Ecuador,Ecuador,LATIN AMER. & CARIB,13547510,283560,47.78,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,0.07,5.85,283560,22.29,Upper-Medium (0.659 - 0.780),1/1/2014,0.592481203,2,0.79,Ecuador,Ecuador,Ecuador,4.93,4.23,0.665,3300,0.394,89,89,0.312,23.66,92.5,-8.58,1,89.22,125.6,47.78,13547510,LATIN AMER. & CARIB,0.618,2014,2014
H,2014,0.154,2014,Estonia,EST,Estonia,Estonia,BALTICS,1324333,45226,29.28,8.39,-3.16,7.87,12300,99.8,333.75,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666,0.04,16.04,45226,10.04,High (0.780 - 0.939),1/1/2014,0.175799087,3,8.39,Estonia,Estonia,Estonia,0.45,13.25,0.876,12300,0.154,30,30,0.294,7.87,99.8,-3.16,1,83.51,333.75,29.28,1324333,BALTICS,0.666,2014,2014
L,2014,0.531,2014,Ethiopia,ETH,Ethiopia,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.34,0,0,95.32,700,42.7,8.16,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426,0.475,10.71,1127127,37.98,"Low (
0.206 - 0.498)",1/1/2014,1.685714286,2,0,Ethiopia,Ethiopia,Ethiopia,0.75,14.86,0.315,700,0.531,174,174,0.099,95.32,42.7,0,1,88.54,8.16,66.34,74777981,SUB-SAHARAN AFRICA,0.426,2014,2014
UM,2014,0.369,2014,Fiji,FJI,Fiji,Fiji,OCEANIA,905949,18270,49.59,6.18,-3.14,12.62,5800,93.7,112.59,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776,0.089,10.95,18270,22.55,Upper-Medium (0.659 - 0.780),1/1/2014,0.474903475,2,6.18,Fiji,Fiji,Fiji,4.65,5.65,0.777,5800,0.369,91,91,0.135,12.62,93.7,-3.14,1,84.4,112.59,49.59,905949,OCEANIA,0.776,2014,2014
H,2014,0.06,2014,Finland,FIN,Finland,Finland,WESTERN EUROPE,5231372,338145,15.47,0.37,0.95,3.57,27400,100,405.25,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676,0.028,7.19,338145,10.45,High (0.780 - 0.939),1/1/2014,0.070838253,3,0.37,Finland,Finland,Finland,0.03,9.86,0.847,27400,0.06,23,23,0.295,3.57,100,0.95,1,92.78,405.25,15.47,5231372,WESTERN EUROPE,0.676,2014,2014
H,2014,0.103,2014,France,FRA,France,France,WESTERN EUROPE,60876136,547030,111.28,0.63,0.66,4.26,27600,99,586.44,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,0.022,33.53,547030,11.99,High (0.780 - 0.939),1/1/2014,0.123798077,4,0.63,France,France,France,2.07,9.14,0.832,27600,0.103,21,21,0.214,4.26,99,0.66,1,64.4,586.44,111.28,60876136,WESTERN EUROPE,0.764,2014,2014
UM,2014,0.547,2014,Gabon,GAB,Gabon,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.32,0.33,0,53.64,5500,63.2,27.44,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,0.061,1.26,267667,36.16,Low-Medium (0.498 - 0.659),1/1/2014,0.885113269,2,0.33,Gabon,Gabon,Gabon,0.66,12.25,0.618,5500,0.547,109,109,0.592,53.64,63.2,0,1,98.08,27.44,5.32,1424906,SUB-SAHARAN AFRICA,0.348,2014,2014
LM,2014,0.363,2014,Georgia,GEO,Georgia,Georgia,C.W. OF IND. STATES,4661473,69700,66.88,0.44,-4.7,18.59,2500,99,146.56,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,0.172,11.44,69700,10.41,High (0.780 - 0.939),1/1/2014,0.457178841,3,0.44,Georgia,Georgia,Georgia,3.86,9.23,0.794,2500,0.363,70,70,0.275,18.59,99,-4.7,1,84.7,146.56,66.88,4661473,C.W. OF IND. STATES,0.553,2014,2014
H,2014,0.073,2014,Germany,DEU,Germany,Germany,WESTERN EUROPE,82422299,357021,230.86,0.67,2.18,4.16,27600,99,667.85,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695,0.009,33.85,357021,8.25,High (0.780 - 0.939),1/1/2014,0.079868709,3,0.67,Germany,Germany,Germany,0.59,10.62,0.914,27600,0.073,4,4,0.296,4.16,99,2.18,1,65.56,667.85,230.86,82422299,WESTERN EUROPE,0.695,2014,2014
LM,2014,0.548,2014,Ghana,GHA,Ghana,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.58,0.23,-0.64,51.43,2200,74.8,14.35,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,0.366,16.26,239460,30.52,Low-Medium (0.498 - 0.659),1/1/2014,1.003663004,2,0.23,Ghana,Ghana,Ghana,9.67,9.72,0.546,2200,0.548,139,139,0.246,51.43,74.8,-0.64,1,74.07,14.35,93.58,22409572,SUB-SAHARAN AFRICA,0.387,2014,2014
H,2014,0.121,2014,Greece,GRC,Greece,Greece,WESTERN EUROPE,10688058,131940,81.01,10.37,2.35,5.53,20000,97.5,589.72,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,0.054,21.1,131940,9.68,High (0.780 - 0.939),1/1/2014,0.145783133,3,10.37,Greece,Greece,Greece,8.78,10.24,0.83,20000,0.121,29,29,0.213,5.53,97.5,2.35,1,70.12,589.72,81.01,10688058,WESTERN EUROPE,0.733,2014,2014
LM,2014,0.503,2014,Guatemala,GTM,Guatemala,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.09,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,0.227,12.54,108890,29.88,Low-Medium (0.498 - 0.659),1/1/2014,0.99015748,2,0.37,Guatemala,Guatemala,Guatemala,5.03,5.2,0.508,4100,0.503,125,125,0.188,35.93,70.6,-1.67,1,82.43,92.09,112.9,12293545,LATIN AMER. & CARIB,0.585,2014,2014
LM,2014,0.509,2014,Guyana,GUY,Guyana,Guyana,LATIN AMER. & CARIB,767245,214970,3.57,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,0.203,0.427,0.37,2.44,214970,18.28,Low-Medium (0.498 - 0.659),1/1/2014,0.88986014,2,0.21,Guyana,Guyana,Guyana,0.15,8.28,0.572,4000,0.509,127,127,0.203,33.26,98.8,-2.07,1,97.41,143.5,3.57,767245,LATIN AMER. & CARIB,0.427,2014,2014
L,2014,0.597,2014,Haiti,HTI,Haiti,Haiti,LATIN AMER. & CARIB,8308504,27750,299.41,6.38,-3.4,73.45,1600,52.9,16.85,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52,0.28,28.3,27750,36.44,"Low (
0.206 - 0.498)",1/1/2014,1.414691943,2,6.38,Haiti,Haiti,Haiti,11.61,12.17,0.422,1600,0.597,163,163,0.2,73.45,52.9,-3.4,1,60.09,16.85,299.41,8308504,LATIN AMER. & CARIB,0.52,2014,2014
LM,2014,0.466,2014,Honduras,HND,Honduras,Honduras,LATIN AMER. & CARIB,7326496,112090,65.36,0.73,-1.99,29.32,2600,76.2,67.48,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549,0.139,9.55,112090,28.24,Low-Medium (0.498 - 0.659),1/1/2014,0.8996139,2,0.73,Honduras,Honduras,Honduras,3.22,5.28,0.518,2600,0.466,130,130,0.312,29.32,76.2,-1.99,1,87.23,67.48,65.36,7326496,LATIN AMER. & CARIB,0.549,2014,2014
H,2014,0.249,2014,Hungary,HUN,Hungary,Hungary,EASTERN EUROPE,9981334,93030,107.29,0,0.86,8.57,13900,99.4,336.23,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651,0.037,50.09,93030,9.72,High (0.780 - 0.939),1/1/2014,0.298203593,3,0,Hungary,Hungary,Hungary,2.06,13.11,0.835,13900,0.249,43,43,0.312,8.57,99.4,0.86,1,47.85,336.23,107.29,9981334,EASTERN EUROPE,0.651,2014,2014
H,2014,0.065,2014,Iceland,ISL,Iceland,Iceland,WESTERN EUROPE,299388,103000,2.91,4.83,2.38,3.31,30900,99.9,647.65,0.07,0,99.93,3,13.64,6.72,0.086,0.15,0.765,0.086,0.07,103000,13.64,High (0.780 - 0.939),1/1/2014,0.071743929,3,4.83,Iceland,Iceland,Iceland,0,6.72,0.906,30900,0.065,9,9,0.15,3.31,99.9,2.38,1,99.93,647.65,2.91,299388,WESTERN EUROPE,0.765,2014,2014
LM,2014,0.544,2014,India,IND,India,India,ASIA (EX. NEAR EAST),1095351995,3287590,333.18,0.21,-0.07,56.29,2900,59.5,45.42,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,0.186,54.4,3287590,22.01,Low-Medium (0.498 - 0.659),1/1/2014,1.036190476,2.5,0.21,India,India,India,2.74,8.18,0.525,2900,0.544,131,131,0.276,56.29,59.5,-0.07,1,42.86,45.42,333.18,1095351995,ASIA (EX. NEAR EAST),0.538,2014,2014
LM,2014,0.472,2014,Indonesia,IDN,Indonesia,Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,127.88,2.85,0,35.6,3200,87.9,52.03,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408,0.134,11.32,1919440,20.34,Low-Medium (0.498 - 0.659),1/1/2014,0.758842444,2,2.85,Indonesia,Indonesia,Indonesia,7.23,6.25,0.622,3200,0.472,113,113,0.458,35.6,87.9,0,1,81.45,52.03,127.88,245452739,ASIA (EX. NEAR EAST),0.408,2014,2014
UM,2014,0.528,2014,Iraq,IRQ,Iraq,Iraq,NEAR EAST,26783383,437072,61.28,0.01,0,50.25,1500,40.4,38.61,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261,0.073,13.15,437072,31.98,Low-Medium (0.498 - 0.659),1/1/2014,1.056,1,0.01,Iraq,Iraq,Iraq,0.78,5.37,0.5,1500,0.528,121,121,0.666,50.25,40.4,0,1,86.07,38.61,61.28,26783383,NEAR EAST,0.261,2014,2014
H,2014,0.135,2014,Ireland,IRL,Ireland,Ireland,WESTERN EUROPE,4062235,70280,57.8,2.06,4.99,5.39,29600,98,500.46,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49,0.05,15.2,70280,14.45,High (0.780 - 0.939),1/1/2014,0.148351648,3,2.06,Ireland,Ireland,Ireland,0.03,7.82,0.91,29600,0.135,8,8,0.46,5.39,98,4.99,1,84.77,500.46,57.8,4062235,WESTERN EUROPE,0.49,2014,2014
H,2014,0.118,2014,Israel,ISR,Israel,Israel,NEAR EAST,6352117,20770,305.83,1.31,0.68,7.03,19800,95.4,462.26,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657,0.026,16.39,20770,17.97,High (0.780 - 0.939),1/1/2014,0.135632184,3,1.31,Israel,Israel,Israel,4.17,6.18,0.87,19800,0.118,19,19,0.317,7.03,95.4,0.68,1,79.44,462.26,305.83,6352117,NEAR EAST,0.657,2014,2014
H,2014,0.085,2014,Italy,ITA,Italy,Italy,WESTERN EUROPE,58133509,301230,192.99,2.52,2.07,5.94,26700,98.6,430.89,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688,0.021,27.79,301230,8.72,High (0.780 - 0.939),1/1/2014,0.105721393,,2.52,Italy,Italy,Italy,9.53,10.4,0.804,26700,0.085,26,26,0.291,5.94,98.6,2.07,1,62.68,430.89,192.99,58133509,WESTERN EUROPE,0.688,2014,2014
UM,2014,0.426,2014,Jamaica,JAM,Jamaica,Jamaica,LATIN AMER. & CARIB,2758124,10991,250.94,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615,0.049,16.07,10991,20.82,Upper-Medium (0.659 - 0.780),1/1/2014,0.629246677,2,9.3,Jamaica,Jamaica,Jamaica,10.16,6.52,0.677,3900,0.426,94,94,0.337,12.36,87.9,-4.92,1,73.77,124,250.94,2758124,LATIN AMER. & CARIB,0.615,2014,2014
H,2014,0.124,2014,Japan,JPN,Japan,Japan,ASIA (EX. NEAR EAST),127463611,377835,337.35,7.87,0,3.26,28200,99,461.15,12.19,0.96,86.85,3,9.37,9.16,0.017,0.258,0.725,0.017,12.19,377835,9.37,High (0.780 - 0.939),1/1/2014,0.147268409,3,7.87,Japan,Japan,Japan,0.96,9.16,0.842,28200,0.124,17,17,0.258,3.26,99,0,1,86.85,461.15,337.35,127463611,ASIA (EX. NEAR EAST),0.725,2014,2014
UM,2014,0.48,2014,Jordan,JOR,Jordan,Jordan,NEAR EAST,5906760,92300,64,0.03,6.59,17.35,4300,91.3,104.51,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68,0.033,2.67,92300,21.25,Upper-Medium (0.659 - 0.780),1/1/2014,0.684736091,1,0.03,Jordan,Jordan,Jordan,1.83,2.65,0.701,4300,0.48,86,86,0.287,17.35,91.3,6.59,1,95.5,104.51,64,5906760,NEAR EAST,0.68,2014,2014
UM,2014,0.203,2014,Kazakhstan,KAZ,Kazakhstan,Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.61,0,-3.35,29.21,6300,98.4,164.11,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547,0.067,7.98,2717300,16,High (0.780 - 0.939),1/1/2014,0.252173913,4,0,Kazakhstan,Kazakhstan,Kazakhstan,0.05,9.42,0.805,6300,0.203,56,56,0.386,29.21,98.4,-3.35,1,91.97,164.11,5.61,15233244,C.W. OF IND. STATES,0.547,2014,2014
LM,2014,0.569,2014,Kenya,KEN,Kenya,Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.57,0.09,-0.1,61.47,1000,85.1,8.12,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651,0.163,8.08,582650,39.72,Low-Medium (0.498 - 0.659),1/1/2014,1.098455598,1.5,0.09,Kenya,Kenya,Kenya,0.98,14.02,0.518,1000,0.569,146,146,0.188,61.47,85.1,-0.1,1,90.94,8.12,59.57,34707817,SUB-SAHARAN AFRICA,0.651,2014,2014
H,2014,0.34,2014,Kuwait,KWT,Kuwait,Kuwait,NEAR EAST,2418393,17820,135.71,2.8,14.18,9.95,19000,83.5,211.01,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516,0.004,0.73,17820,21.94,Low-Medium (0.498 - 0.659),1/1/2014,0.556464812,1,2.8,Kuwait,Kuwait,Kuwait,0.11,2.41,0.611,19000,0.34,51,51,0.479,9.95,83.5,14.18,1,99.16,211.01,135.71,2418393,NEAR EAST,0.516,2014,2014
H,2014,0.195,2014,Latvia,LVA,Latvia,Latvia,BALTICS,2274735,64589,35.22,0.82,-2.23,9.55,10200,99.8,321.36,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699,0.04,29.67,64589,9.24,High (0.780 - 0.939),1/1/2014,0.233532934,3,0.82,Latvia,Latvia,Latvia,0.47,13.66,0.835,10200,0.195,44,44,0.261,9.55,99.8,-2.23,1,69.86,321.36,35.22,2274735,BALTICS,0.699,2014,2014
UM,2014,0.386,2014,Lebanon,LBN,Lebanon,Lebanon,NEAR EAST,3874050,10400,372.5,2.16,0,24.52,4800,87.4,255.55,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67,0.12,16.62,10400,18.52,Low-Medium (0.498 - 0.659),1/1/2014,0.588414634,,2.16,Lebanon,Lebanon,Lebanon,13.98,6.21,0.656,4800,0.386,76,76,0.21,24.52,87.4,0,1,69.4,255.55,372.5,3874050,NEAR EAST,0.67,2014,2014
LM,2014,0.549,2014,Lesotho,LSO,Lesotho,Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.62,0,-0.74,84.23,3000,84.8,23.73,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394,0.163,10.87,30355,24.75,Low-Medium (0.498 - 0.659),1/1/2014,1.091451292,3,0,Lesotho,Lesotho,Lesotho,0.13,28.71,0.503,3000,0.549,160,160,0.443,84.23,84.8,-0.74,1,89,23.73,66.62,2022331,SUB-SAHARAN AFRICA,0.394,2014,2014
L,2014,0.649,2014,Liberia,LBR,Liberia,Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.31,0.52,0,128.87,1000,57.5,2.27,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177,0.769,3.95,111370,44.77,"Low (
0.206 - 0.498)",1/1/2014,1.53427896,2,0.52,Liberia,Liberia,Liberia,2.28,23.1,0.423,1000,0.649,177,177,0.054,128.87,57.5,0,1,93.77,2.27,27.31,3042004,SUB-SAHARAN AFRICA,0.177,2014,2014
UM,2014,0.169,2014,Libya,LBY,Libya,Libya,NORTHERN AFRICA,5900754,1759540,3.35,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425,0.076,1.03,1759540,26.49,Low-Medium (0.498 - 0.659),1/1/2014,0.274350649,,0.1,Libya,Libya,Libya,0.19,3.48,0.616,6400,0.169,102,102,0.499,24.6,82.6,0,1,98.78,127.1,3.35,5900754,NORTHERN AFRICA,0.425,2014,2014
H,2014,0.128,2014,Lithuania,LTU,Lithuania,Lithuania,BALTICS,3585906,65200,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62,0.055,45.22,65200,8.75,High (0.780 - 0.939),1/1/2014,0.145124717,,0.14,Lithuania,Lithuania,Lithuania,0.91,10.98,0.882,11400,0.128,37,37,0.325,6.89,99.6,-0.71,1,53.87,223.4,55,3585906,BALTICS,0.62,2014,2014
H,2014,0.081,2014,Luxembourg,LUX,Luxembourg,Luxembourg,WESTERN EUROPE,474413,2586,183.45,0,8.97,4.81,55100,100,515.37,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,0.01,23.28,2586,11.94,High (0.780 - 0.939),1/1/2014,0.103448276,,0,Luxembourg,Luxembourg,Luxembourg,0.4,8.41,0.783,55100,0.081,20,20,0.13,4.81,100,8.97,1,76.32,515.37,183.45,474413,WESTERN EUROPE,0.86,2014,2014
L,2014,0.616,2014,Malawi,MWI,Malawi,Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.84,0,0,103.32,600,62.7,7.89,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499,0.342,23.38,118480,43.13,"Low (
0.206 - 0.498)",1/1/2014,1.384269663,2,0,Malawi,Malawi,Malawi,1.49,19.33,0.445,600,0.616,170,170,0.158,103.32,62.7,0,1,75.13,7.89,109.84,13013926,SUB-SAHARAN AFRICA,0.499,2014,2014
UM,2014,0.287,2014,Malaysia,MYS,Malaysia,Malaysia,ASIA (EX. NEAR EAST),24385858,329750,73.95,1.42,0,17.7,9000,88.7,179.04,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436,0.084,5.48,329750,22.86,Upper-Medium (0.659 - 0.780),1/1/2014,0.41,2,1.42,Malaysia,Malaysia,Malaysia,17.61,5.05,0.7,9000,0.287,59,59,0.48,17.7,88.7,0,1,76.91,179.04,73.95,24385858,ASIA (EX. NEAR EAST),0.436,2014,2014
UM,2014,0.328,2014,Maldives,MDV,Maldives,Maldives,ASIA (EX. NEAR EAST),359008,300,1196.69,214.67,0,56.52,3900,97.2,89.97,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,0.2,13.33,300,34.81,Low-Medium (0.498 - 0.659),1/1/2014,0.584670232,2,214.67,Maldives,Maldives,Maldives,16.67,7.06,0.561,3900,0.328,105,105,0.18,56.52,97.2,0,1,70,89.97,1196.69,359008,ASIA (EX. NEAR EAST),0.62,2014,2014
L,2014,0.686,2014,Mali,MLI,Mali,Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.45,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38,0.45,3.82,1240000,49.82,"Low (
0.206 - 0.498)",1/1/2014,2.198717949,2,0,Mali,Mali,Mali,0.03,16.89,0.312,900,0.686,175,175,0.17,116.79,46.4,-0.33,1,96.15,6.4,9.45,11716829,SUB-SAHARAN AFRICA,0.38,2014,2014
H,2014,0.213,2014,Malta,MLT,Malta,Malta,WESTERN EUROPE,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,504.98,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74,0.03,28.13,316,10.22,High (0.780 - 0.939),1/1/2014,0.272727273,,62.28,Malta,Malta,Malta,3.13,8.1,0.781,17700,0.213,33,33,0.23,3.89,92.8,2.07,1,68.74,504.98,1266.5,400214,WESTERN EUROPE,0.74,2014,2014
LM,2014,0.63,2014,Mauritania,MRT,Mauritania,Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.08,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46,0.25,0.48,1030700,40.99,"Low (
0.206 - 0.498)",1/1/2014,1.671087533,1,0.07,Mauritania,Mauritania,Mauritania,0.01,12.16,0.377,1800,0.63,157,157,0.29,70.89,41.7,0,1,99.51,12.9,3.08,3177388,SUB-SAHARAN AFRICA,0.46,2014,2014
